State,YEAR,Number of factories
JAMMU & KASHMIR,2011,842.1691937
JAMMU & KASHMIR,2012,934.1133333
JAMMU & KASHMIR,2013,922.3757836
JAMMU & KASHMIR,2014,943.8946247
JAMMU & KASHMIR,2015,924.3320418
JAMMU & KASHMIR,2016,993.7792111
JAMMU & KASHMIR,2017,996.7135986
JAMMU & KASHMIR,2018,978.1291448
HIMACHAL PRADESH,2011,2489
HIMACHAL PRADESH,2012,2654
HIMACHAL PRADESH,2013,2806
HIMACHAL PRADESH,2014,2784
HIMACHAL PRADESH,2015,2767
HIMACHAL PRADESH,2016,2721
HIMACHAL PRADESH,2017,2671
HIMACHAL PRADESH,2018,2691
PUNJAB,2011,12593
PUNJAB,2012,12427
PUNJAB,2013,12278
PUNJAB,2014,12413
PUNJAB,2015,12521
PUNJAB,2016,12489
PUNJAB,2017,12726
MANIPUR,2011,102
PUNJAB,2018,12825
CHANDIGARH,2011,308
CHANDIGARH,2012,297
CHANDIGARH,2013,285
CHANDIGARH,2014,276
CHANDIGARH,2015,262
CHANDIGARH,2016,248
CHANDIGARH,2017,233
CHANDIGARH,2018,233
UTTARAKHAND,2011,2843
UTTARAKHAND,2012,2911
UTTARAKHAND,2013,2936
UTTARAKHAND,2014,2987
UTTARAKHAND,2015,2978
UTTARAKHAND,2016,2987
UTTARAKHAND,2017,2998
UTTARAKHAND,2018,3002
HARYANA,2011,6142
HARYANA,2012,6163
HARYANA,2013,6117
HARYANA,2014,8243
HARYANA,2015,7953
HARYANA,2016,8503
HARYANA,2017,8891
HARYANA,2018,11835
DELHI,2011,3849
DELHI,2012,3958
DELHI,2013,3918
DELHI,2014,3868
DELHI,2015,3776
DELHI,2016,3507
DELHI,2017,3432
DELHI,2018,3376
RAJASTHAN,2011,8444
RAJASTHAN,2012,8782
RAJASTHAN,2013,8820
RAJASTHAN,2014,8986
RAJASTHAN,2015,9049
RAJASTHAN,2016,9026
RAJASTHAN,2017,9212
RAJASTHAN,2018,9424
UTTAR PRADESH,2011,14090
UTTAR PRADESH,2012,14440
UTTAR PRADESH,2013,14463
UTTAR PRADESH,2014,14867
UTTAR PRADESH,2015,15291
UTTAR PRADESH,2016,15294
UTTAR PRADESH,2017,15830
UTTAR PRADESH,2018,15854
BIHAR,2011,3231
BIHAR,2012,3345
BIHAR,2013,3419
BIHAR,2014,3529
BIHAR,2015,3623
BIHAR,2016,3531
BIHAR,2017,3461
BIHAR,2018,3422
SIKKIM,2011,61
SIKKIM,2012,65
SIKKIM,2013,66
SIKKIM,2014,67
SIKKIM,2015,68
SIKKIM,2016,71
SIKKIM,2017,82
SIKKIM,2018,84
ARUNACHAL PRADESH,2011,
ARUNACHAL PRADESH,2012,
ARUNACHAL PRADESH,2013,
ARUNACHAL PRADESH,2014,124
ARUNACHAL PRADESH,2015,120
ARUNACHAL PRADESH,2016,125
ARUNACHAL PRADESH,2017,117
ARUNACHAL PRADESH,2018,115
NAGALAND,2011,86
NAGALAND,2012,106
NAGALAND,2013,134
NAGALAND,2014,197
NAGALAND,2015,185
NAGALAND,2016,192
NAGALAND,2017,186
NAGALAND,2018,187
MANIPUR,2012,128
MANIPUR,2013,145
MANIPUR,2014,160
MANIPUR,2015,173
MANIPUR,2016,188
MANIPUR,2017,191
MANIPUR,2018,197
TRIPURA,2011,446
TRIPURA,2012,534
TRIPURA,2013,552
TRIPURA,2014,548
TRIPURA,2015,558
TRIPURA,2016,585
TRIPURA,2017,607
TRIPURA,2018,621
MEGHALAYA,2011,100
MEGHALAYA,2012,116
MEGHALAYA,2013,108
MEGHALAYA,2014,109
MEGHALAYA,2015,102
MEGHALAYA,2016,120
MEGHALAYA,2017,133
MEGHALAYA,2018,148
ASSAM,2011,3019
ASSAM,2012,3303
ASSAM,2013,3518
ASSAM,2014,3717
ASSAM,2015,3890
ASSAM,2016,4154
ASSAM,2017,4538
ASSAM,2018,5020
WEST BENGAL,2011,8402
WEST BENGAL,2012,8607
WEST BENGAL,2013,8859
WEST BENGAL,2014,9112
