State,YEAR,party,vote_share_percentage,District,M.victory
JAMMU & KASHMIR,2014,AJKMP,1.31,kupwara,4.56
JAMMU & KASHMIR,2014,JKN,25.46,kupwara,4.56
JAMMU & KASHMIR,2014,JPC,9.1,kupwara,4.56
JAMMU & KASHMIR,2014,INC,11.17,kupwara,4.56
JAMMU & KASHMIR,2014,JKNPP,1.75,kupwara,4.56
JAMMU & KASHMIR,2014,JKPDP,47.75,kupwara,4.56
JAMMU & KASHMIR,2014,NOTA,0.94,kupwara,4.56
JAMMU & KASHMIR,2014,BJP,2.52,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.49,kupwara,4.56
JAMMU & KASHMIR,2014,JPC,34.47,kupwara,4.56
JAMMU & KASHMIR,2014,BSP,0.39,kupwara,4.56
JAMMU & KASHMIR,2014,BJP,1.1,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.81,kupwara,4.56
JAMMU & KASHMIR,2014,JKNPP,0.94,kupwara,4.56
JAMMU & KASHMIR,2014,NOTA,0.92,kupwara,4.56
JAMMU & KASHMIR,2014,AJKMP,0.83,kupwara,4.56
JAMMU & KASHMIR,2014,NCP,0.22,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.57,kupwara,4.56
JAMMU & KASHMIR,2014,INC,0.78,kupwara,4.56
JAMMU & KASHMIR,2014,JKN,24.21,kupwara,4.56
JAMMU & KASHMIR,2014,JKPDP,34.26,kupwara,4.56
JAMMU & KASHMIR,2014,NOTA,1.71,kupwara,4.56
JAMMU & KASHMIR,2014,JPC,5.56,kupwara,4.56
JAMMU & KASHMIR,2014,INC,10.65,kupwara,4.56
JAMMU & KASHMIR,2014,RPI,1.07,kupwara,4.56
JAMMU & KASHMIR,2014,JKN,37.06,kupwara,4.56
JAMMU & KASHMIR,2014,JKNPP,0.37,kupwara,4.56
JAMMU & KASHMIR,2014,BJP,1.52,kupwara,4.56
JAMMU & KASHMIR,2014,AJKMP,0.64,kupwara,4.56
JAMMU & KASHMIR,2014,JKPDP,41.06,kupwara,4.56
JAMMU & KASHMIR,2014,BSP,0.36,kupwara,4.56
JAMMU & KASHMIR,2014,JKNPP,0.28,kupwara,4.56
JAMMU & KASHMIR,2014,IND,0.58,kupwara,4.56
JAMMU & KASHMIR,2014,AJKMP,0.57,kupwara,4.56
JAMMU & KASHMIR,2014,JKN,35.21,kupwara,4.56
