State,YEAR,Minerals produced, mines 
JAMMU & KASHMIR,2012,5236928.157,7.805271174
JAMMU & KASHMIR,2013,1978381.596,6.829612277
JAMMU & KASHMIR,2014,1956358.047,7.805271174
JAMMU & KASHMIR,2015,2267426.398,9.756588968
JAMMU & KASHMIR,2016,2336262.06,8.780930071
JAMMU & KASHMIR,2017,2405647.018,12.68356566
JAMMU & KASHMIR,2018,1990551.965,21.46449573
HIMACHAL PRADESH,2012,2674558,20
HIMACHAL PRADESH,2013,2146927,20
HIMACHAL PRADESH,2014,2445647,17
HIMACHAL PRADESH,2015,2715044,17
HIMACHAL PRADESH,2016,2689531,21
HIMACHAL PRADESH,2017,2991852,21
HIMACHAL PRADESH,2018,3239248,23
PUNJAB,2012,94448,
PUNJAB,2013,94448,
PUNJAB,2014,94448,
PUNJAB,2015,94448,
PUNJAB,2016,94448,
PUNJAB,2017,94448,
PUNJAB,2018,90153,
UTTARAKHAND,2012,889969,34
UTTARAKHAND,2013,828023,17
UTTARAKHAND,2014,853954,15
UTTARAKHAND,2015,888928,3
UTTARAKHAND,2016,723896,3
UTTARAKHAND,2017,734539,3
UTTARAKHAND,2018,777852,3
HARYANA,2012,1487461,1
HARYANA,2013,1487530,1
HARYANA,2014,1487395,1
HARYANA,2015,355006,
HARYANA,2016,354770,
HARYANA,2017,354770,
HARYANA,2018,1718901,
RAJASTHAN,2012,312342126,508
RAJASTHAN,2013,325542682,629
RAJASTHAN,2014,330252261,541
RAJASTHAN,2015,343844129,76
RAJASTHAN,2016,194694335,89
RAJASTHAN,2017,208869737,81
RAJASTHAN,2018,231070503,82
UTTAR PRADESH,2012,75209010,22
UTTAR PRADESH,2013,74510706,19
UTTAR PRADESH,2014,70429213,17
UTTAR PRADESH,2015,70596363,6
UTTAR PRADESH,2016,56553200,6
UTTAR PRADESH,2017,56738589,2
UTTAR PRADESH,2018,56824691,2
BIHAR,2012,1997065,6
BIHAR,2013,4240107,5
BIHAR,2014,4140602,3
BIHAR,2015,42833363,1
BIHAR,2016,42781798,1
BIHAR,2017,42744830,1
BIHAR,2018,42858706,1
SIKKIM,2012,18787,
SIKKIM,2013,18787,
SIKKIM,2014,18787,
SIKKIM,2015,18787,
SIKKIM,2016,18787,
SIKKIM,2017,18787,
SIKKIM,2018,18787,
ARUNACHAL PRADESH,2012,3186826,1
ARUNACHAL PRADESH,2013,2585578,1
ARUNACHAL PRADESH,2014,1891535,1
ARUNACHAL PRADESH,2015,1457762,
ARUNACHAL PRADESH,2016,337209,
ARUNACHAL PRADESH,2017,337209,
ARUNACHAL PRADESH,2018,337209,
NAGALAND,2012,1774,
NAGALAND,2013,1774,
NAGALAND,2014,1774,
NAGALAND,2015,1774,
NAGALAND,2016,1774,
NAGALAND,2017,1774,
NAGALAND,2018,1774,
MANIPUR,2012,2866,
MANIPUR,2013,2866,
MANIPUR,2014,2866,
MANIPUR,2015,2866,
MANIPUR,2016,2866,
MANIPUR,2017,2866,
MANIPUR,2018,2866,
MIZORAM,2012,16242,
MIZORAM,2013,21483,
MIZORAM,2014,21483,
MIZORAM,2015,12875,
MIZORAM,2016,16793,
MIZORAM,2017,16793,
MIZORAM,2018,16793,
TRIPURA,2012,5379953,
TRIPURA,2013,6827225,
TRIPURA,2014,9457126,
TRIPURA,2015,11069639,
TRIPURA,2016,47554,
TRIPURA,2017,47554,
TRIPURA,2018,47953,
MEGHALAYA,2012,39455101,14
MEGHALAYA,2013,40391047,14
MEGHALAYA,2014,15144264,17
MEGHALAYA,2015,21218264,16
MEGHALAYA,2016,3078879,16
MEGHALAYA,2017,2861675,19
MEGHALAYA,2018,2866591,21
ASSAM,2012,116458740,9
ASSAM,2013,113083701,6
ASSAM,2014,109887663,6
ASSAM,2015,103338410,7
ASSAM,2016,757856,7
ASSAM,2017,775010,3
ASSAM,2018,853165,3
WEST BENGAL,2012,110869851,127
WEST BENGAL,2013,43759612,121
WEST BENGAL,2014,83498534,118
WEST BENGAL,2015,78110841,76
WEST BENGAL,2016,1455113,76
WEST BENGAL,2017,1455113,1
WEST BENGAL,2018,1455113,
JHARKHAND,2012,199970583,293
JHARKHAND,2013,267708722,234
JHARKHAND,2014,218365103,224
JHARKHAND,2015,206064546,199
JHARKHAND,2016,18871425,196
JHARKHAND,2017,21105305,57
JHARKHAND,2018,25511367,59
ODISHA,2012,236941763,192
ODISHA,2013,331117211,185
ODISHA,2014,291186441,172
ODISHA,2015,267038407,159
ODISHA,2016,165086239,157
ODISHA,2017,201774478,130
ODISHA,2018,302559015,134
CHHATTISGARH,2012,188400750,196
CHHATTISGARH,2013,190922002,215
CHHATTISGARH,2014,245884613,215
CHHATTISGARH,2015,211485715,157
CHHATTISGARH,2016,76045547,161
CHHATTISGARH,2017,98183494,109
CHHATTISGARH,2018,119832999,89
MADHYA PRADESH,2012,113990301,421
MADHYA PRADESH,2013,146183988,411
MADHYA PRADESH,2014,145619029,375
MADHYA PRADESH,2015,159682830,274
MADHYA PRADESH,2016,27339996,268
MADHYA PRADESH,2017,32378576,223
MADHYA PRADESH,2018,82281327,213
GUJARAT,2012,229520813,487
GUJARAT,2013,187363387,490
GUJARAT,2014,183648296,413
GUJARAT,2015,175254520,225
GUJARAT,2016,65270885,204
GUJARAT,2017,64524717,181
GUJARAT,2018,74464584,185
MAHARASHTRA,2012,129953596,151
MAHARASHTRA,2013,78014910,173
MAHARASHTRA,2014,88725297,165
MAHARASHTRA,2015,115251316,128
MAHARASHTRA,2016,51723203,132
MAHARASHTRA,2017,54014418,73
MAHARASHTRA,2018,59118321,65
ANDHRA PRADESH,2012,167703097,536
ANDHRA PRADESH,2013,158660646,492
ANDHRA PRADESH,2014,151576048,421
ANDHRA PRADESH,2015,116389054,135
ANDHRA PRADESH,2016,102481258,123
ANDHRA PRADESH,2017,104648311,130
ANDHRA PRADESH,2018,181237545,130
KARNATAKA,2012,60873185,219
KARNATAKA,2013,78827441,192
KARNATAKA,2014,84828055,183
KARNATAKA,2015,58435274,146
KARNATAKA,2016,67681353,141
KARNATAKA,2017,95012436,140
KARNATAKA,2018,96571270,137
GOA,2012,25859191,72
GOA,2013,6251655,86
GOA,2014,6231085,71
GOA,2015,9230568,77
GOA,2016,17554690,85
GOA,2017,18007514,90
GOA,2018,545680,50
KERALA,2012,14621046,55
KERALA,2013,15635219,53
KERALA,2014,15609380,53
KERALA,2015,27596428,8
KERALA,2016,22582460,8
KERALA,2017,22618270,8
KERALA,2018,38809084,8
TAMIL NADU,2012,61925152,368
TAMIL NADU,2013,67419325,377
TAMIL NADU,2014,75741359,292
TAMIL NADU,2015,72874009,252
TAMIL NADU,2016,10945989,236
TAMIL NADU,2017,10044305,110
TAMIL NADU,2018,9389014,101
PUDUCHERRY,2012,,
PUDUCHERRY,2013,2527,
PUDUCHERRY,2014,2527,
PUDUCHERRY,2015,198,
PUDUCHERRY,2016,,
ANDAMAN AND NICOBAR ISLANDS,2012,191970,
ANDAMAN AND NICOBAR ISLANDS,2013,327632,
ANDAMAN AND NICOBAR ISLANDS,2014,327632,
ANDAMAN AND NICOBAR ISLANDS,2015,675447,
ANDAMAN AND NICOBAR ISLANDS,2016,675447,
ANDAMAN AND NICOBAR ISLANDS,2017,675447,
ANDAMAN AND NICOBAR ISLANDS,2018,419343,
TELANGANA,2012,96830482,238
TELANGANA,2013,78976294,231
TELANGANA,2014,114393060,201
TELANGANA,2015,190806338,82
TELANGANA,2016,81999380,81
TELANGANA,2017,82818831,35
TELANGANA,2018,113877664,36
LADAKH,2012,130652.8432,0.194728826
LADAKH,2013,49357.40433,0.170387723
LADAKH,2014,48807.9526,0.194728826
LADAKH,2015,56568.60221,0.243411032
LADAKH,2016,58285.94006,0.219069929
LADAKH,2017,60016.98196,0.316434342
LADAKH,2018,49661.03525,0.535504271
