"YEAR","State","District","ANNUAL.RAINFALL_MM"
2002,"CHHATTISGARH","DURG",-1
2004,"CHHATTISGARH","DURG",997.9
2005,"CHHATTISGARH","DURG",1103.9
2006,"CHHATTISGARH","DURG",886.4
2007,"CHHATTISGARH","DURG",1068.5
2008,"CHHATTISGARH","DURG",904.8
2009,"CHHATTISGARH","DURG",695.7
2010,"CHHATTISGARH","DURG",1149.7
2011,"CHHATTISGARH","DURG",1282.3
2012,"CHHATTISGARH","DURG",1092.1
2013,"CHHATTISGARH","DURG",1568
2014,"CHHATTISGARH","DURG",1379.7
2015,"CHHATTISGARH","DURG",1008.7
2002,"CHHATTISGARH","BASTAR",-1
2004,"CHHATTISGARH","BASTAR",1644.2
2005,"CHHATTISGARH","BASTAR",1419.1
2006,"CHHATTISGARH","BASTAR",1709.8
2007,"CHHATTISGARH","BASTAR",1259.2
2008,"CHHATTISGARH","BASTAR",1398.3
2009,"CHHATTISGARH","BASTAR",1030.9
2010,"CHHATTISGARH","BASTAR",1623.2
2011,"CHHATTISGARH","BASTAR",1160.5
2012,"CHHATTISGARH","BASTAR",1542.6
2013,"CHHATTISGARH","BASTAR",1434.5
2014,"CHHATTISGARH","BASTAR",1476.6
2015,"CHHATTISGARH","BASTAR",1538.5
2002,"CHHATTISGARH","RAIPUR",-1
2004,"CHHATTISGARH","RAIPUR",939.2
2005,"CHHATTISGARH","RAIPUR",1348
2006,"CHHATTISGARH","RAIPUR",1206.7
2007,"CHHATTISGARH","RAIPUR",1434.2
2008,"CHHATTISGARH","RAIPUR",1114.5
2009,"CHHATTISGARH","RAIPUR",937.5
2010,"CHHATTISGARH","RAIPUR",1109.1
2011,"CHHATTISGARH","RAIPUR",1322.9
2012,"CHHATTISGARH","RAIPUR",1233
2013,"CHHATTISGARH","RAIPUR",1443.6
2014,"CHHATTISGARH","RAIPUR",1233.2
2015,"CHHATTISGARH","RAIPUR",921.4
2002,"CHHATTISGARH","BILASPUR",-1
2004,"CHHATTISGARH","BILASPUR",1272.3
